epoch,loss,test_accuracy,test_loss
0,-0.7985501289367676,82.83999633789062,-0.8203972042361393
1,-0.7924549579620361,84.52999877929688,-0.8424445134174975
2,-0.8264662623405457,85.08999633789062,-0.848313383663757
3,-0.7987959980964661,85.69999694824219,-0.8545407237885874
4,-0.7911673188209534,85.18000030517578,-0.8500367908538142
5,-0.7949487566947937,86.4800033569336,-0.8625513616996475
6,-0.8732311129570007,87.08999633789062,-0.8689412866966634
7,-0.992387592792511,95.44999694824219,-0.9516941142987602
8,-0.9649152755737305,96.19000244140625,-0.9589925144292131
9,-0.9981768727302551,96.08999633789062,-0.9584011737304398
10,-0.9538988471031189,96.4000015258789,-0.9617041983181918
11,-0.9990202784538269,96.56999969482422,-0.9635539085050172
